,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,TSLA,TSLA,TSLA,TSLA,TSLA,META,META,META,META,META,NVDA,NVDA,NVDA,NVDA,NVDA,JPM,JPM,JPM,JPM,JPM,JNJ,JNJ,JNJ,JNJ,JNJ,V,V,V,V,V
Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,178.2703094482422,179.12244407617163,174.05867174915193,174.17620137564992,104487900,323.89837646484375,327.0430208965413,319.08948826047026,324.4789321117376,28865100,143.99830627441406,144.85191577320137,142.72856062954136,144.06136317550153,28646000,170.4044952392578,170.70350646972656,166.16050720214844,167.5500030517578,63520000,399.9266662597656,400.3566589355469,378.67999267578125,382.5833435058594,103931400,336.4657897949219,338.9902054960533,335.12405511546797,336.22723963885556,14537900,30.062768936157227,30.65162847232226,29.7274180657264,29.757360753614222,391547000,145.58323669433594,146.4295483857598,143.61151344260037,143.92663417466127,13120900,152.57684326171875,152.63022187073057,150.40658818130842,151.39388208229119,6012200,214.85614013671875,215.46744132384643,210.5673636502314,211.0622321562999,7694500
2022-01-04,176.00778198242188,179.18121654083714,175.43969718796814,178.87758836256972,99310400,318.3444519042969,324.33379227694843,315.5481232153685,323.975761808593,32674300,143.410400390625,145.4816101983603,142.73208012573355,144.400065125975,28400000,167.52200317382812,171.39999389648438,166.34950256347656,170.43800354003906,70726000,383.1966552734375,402.6666564941406,374.3500061035156,396.51666259765625,100248300,334.4681396484375,340.98794527491924,329.83668699555585,337.86719926539956,15998000,29.23337745666504,30.40909964332839,28.29419661402898,30.218468899947393,527154000,151.102294921875,151.7775420168818,147.86110337066742,147.9331313760206,20195800,152.167724609375,153.24395587279204,151.7407906784649,152.14993173709146,6748400,215.85557556152344,220.0570127435884,215.22486399046664,215.40922560653271,10629300
2022-01-05,171.32601928710938,176.46815060812955,171.0517734789437,175.91965899179817,94537600,306.1238708496094,315.49975115217205,305.7368436101561,315.29653749062345,40054300,136.8312530517578,143.50969364455202,136.74485856797526,143.43073990652238,54618000,164.35699462890625,167.12649536132812,164.35699462890625,166.88299560546875,64302000,362.7066650390625,390.11334228515625,360.336669921875,382.2166748046875,80119800,322.183837890625,333.7028228263255,321.8558428011006,330.97959006204326,20564500,27.550630569458008,29.359127526177748,27.479768693565187,28.893029463658266,498064000,148.3397979736328,152.4880245666312,148.29450891116423,151.99893862470245,17539400,153.1816864013672,154.29350330210178,152.64800886022113,152.9860055410792,7016100,213.4686279296875,218.58217602616855,213.39100119738248,216.03025087261236,9594600
2022-01-06,168.4659881591797,171.69818743268368,168.1133843303379,169.15160256379613,96904000,303.7049255371094,308.3686822043641,301.392388231309,302.9985793895527,39646100,136.80393981933594,138.98142624455608,135.6230889673093,136.06007743230046,37348000,163.25399780273438,164.8000030517578,161.93699645996094,163.45050048828125,51958000,354.8999938964844,362.6666564941406,340.1666564941406,359.0,90336600,330.4230041503906,337.09191371877637,320.74269098082084,320.84208434545513,27962800,28.123523712158203,28.383021289445175,27.012676481336786,27.586563706783856,454186000,149.91578674316406,151.59137172259832,148.42133039794152,151.17474545928786,14047500,152.65692138671875,153.43074165376356,151.91867329099293,153.11942747378822,7301600,213.22601318359375,215.321890177148,211.09133023346973,211.33390817793344,7877500
2022-01-07,168.63250732421875,170.56203191509988,167.51593093187975,169.33771503993543,86709100,303.8597412109375,306.23998686939547,300.037776956861,303.9661611560191,32720000,136.0784454345703,137.50014307479,134.836507719824,137.1992096234285,29760000,162.5540008544922,165.24349975585938,162.031005859375,163.83900451660156,46606000,342.32000732421875,360.30999755859375,336.6666564941406,360.1233215332031,84164700,329.7571716308594,334.9352421037528,326.8649972062558,330.7013328983701,14722000,27.194318771362305,28.367048098700508,27.004685595633504,28.086591263743465,409939000,151.40118408203125,151.7362983295757,149.49915366993315,150.05164716523524,13913300,154.72044372558594,155.0317578997317,152.21219174903814,152.50571305186534,6986000,210.5188751220703,213.66267618420184,209.23805631469486,210.85847540163718,10702100
2022-01-10,168.652099609375,168.95572780142643,164.7146923768041,165.60599864366586,106765600,304.082275390625,304.51769951844926,294.81284395605223,299.4572301875026,44289500,137.7196502685547,137.86863190620056,132.25236816890182,134.1527592080336,44408000,161.48599243164062,161.6614990234375,156.30450439453125,160.5854949951172,87798000,352.7066650390625,353.0333251953125,326.6666564941406,333.3333435058594,91815000,326.0599060058594,326.3282407833615,313.4973373584024,323.31680695790044,24942400,27.347028732299805,27.415895582129004,25.59442299105561,26.52961181550805,594681000,151.54608154296875,153.34846744499623,149.92482425730716,153.13110204913156,12922500,153.9555206298828,154.48919821958899,153.12833529502163,154.48919821958899,7698400,205.677001953125,207.840793211167,200.3693950027304,207.6273234218588,11978600
2022-01-11,171.4827117919922,171.58064816981238,167.31024547595837,168.77942565072325,76138300,304.7693176269531,306.34645318386146,299.84432347965804,303.2211788519228,29386800,138.77880859375,139.25553153130753,135.75616876669966,137.0616634231231,28730000,165.36199951171875,166.35000610351562,160.70150756835938,161.5,62806000,354.79998779296875,358.6166687011719,346.2733459472656,351.22332763671875,66063300,332.32135009765625,332.5797668145055,323.2870470815263,324.7778567607015,16226800,27.763221740722656,28.010743386947276,26.78711374014883,27.270177292552447,404089000,151.70004272460938,152.63293933754792,150.6312789284496,152.3974417480769,11854100,152.31890869140625,154.22233859874362,151.30493226547856,153.86656263497298,8341100,208.01548767089844,208.56855780224635,202.5429286785493,205.14335768643093,8803100
2022-01-12,171.92344665527344,173.5395387171234,171.22804314076478,172.5013205493631,74805200,307.95263671875,312.92602760824207,306.80121056428135,309.3072765675064,34372200,140.46170043945312,141.6311400459877,139.73074953971891,140.1831195548113,26108000,165.20700073242188,166.8780059814453,164.41700744628906,166.5749969482422,50030000,368.739990234375,371.61334228515625,357.5299987792969,359.6166687011719,83739000,331.2181396484375,334.3090702500505,328.00791880409434,333.1263589037451,14104900,27.94487190246582,28.539718460854097,27.554627051101964,28.012739330750005,383413000,152.5605010986328,153.602080548675,151.41927740802055,152.57861948967127,12568000,151.02032470703125,151.27827385806341,149.73061966782606,150.86022956941284,8116200,209.3059844970703,211.1204629951718,207.46238302092058,208.11249021111854,6923300
2022-01-13,168.652099609375,172.9910714162829,168.26030924441002,172.16833406776786,84505800,294.91925048828125,310.477999759612,294.14519599434743,310.0812872347779,45366000,137.63771057128906,141.871510304291,137.46092086663876,140.57047082946312,31436000,161.21400451660156,166.22149658203125,161.09100341796875,165.25050354003906,52188000,343.85333251953125,371.8666687011719,342.17999267578125,369.69000244140625,97209900,324.47967529296875,333.5736073823922,323.764085503571,332.9275959839103,14797100,26.523622512817383,28.424938300544927,26.44676981062193,28.324133734411912,540171000,152.3702850341797,153.8013338094661,152.06234150311718,152.46991544955668,13623400,150.1042022705078,151.58069867710705,149.83737701677364,150.31767604548162,6159400,208.61703491210938,213.93433937727323,208.28713245679907,210.41211764645698,8867700
2022-01-14,169.51400756835938,170.20941111487983,167.57467907053888,167.81954242119846,80440800,300.14422607421875,300.7441227450604,293.9033045852905,294.38709603316755,39846400,138.52505493164062,139.7779187221013,136.06006201783052,136.1400007711832,29662000,162.13800048828125,162.25,159.80050659179688,160.14999389648438,45974000,349.8699951171875,350.6666564941406,337.7933349609375,339.9599914550781,72924300,329.8664855957031,330.69141727827656,319.2419794155193,319.8184428157322,16868500,26.889911651611328,27.1444197184354,26.159326499116265,26.24915265168228,395832000,143.00511169433594,145.84909145982235,142.108437765175,145.6045415118175,40158400,149.28587341308594,150.00632858250634,148.6721483215105,149.98854928418783,5847700,208.2968292236328,211.7705471925342,207.36533820075974,207.81167333086643,8838100
